,gu,dong,code,income_level,pop_density,label,address
0,종로구,청운효자동,1111051500,8.0,5051,2,서울특별시 종로구 청운효자동
1,종로구,사직동,1111053000,9.0,7980,2,서울특별시 종로구 사직동
2,종로구,삼청동,1111054000,7.0,2011,0,서울특별시 종로구 삼청동
3,종로구,부암동,1111055000,7.0,4648,0,서울특별시 종로구 부암동
4,종로구,평창동,1111056000,8.0,2121,2,서울특별시 종로구 평창동
5,종로구,무악동,1111057000,9.0,24278,2,서울특별시 종로구 무악동
6,종로구,교남동,1111058000,8.0,30594,1,서울특별시 종로구 교남동
7,종로구,가회동,1111060000,7.0,8311,0,서울특별시 종로구 가회동
8,종로구,종로1·2·3·4가동,1111061500,7.0,3594,0,서울특별시 종로구 종로1·2·3·4가동
9,종로구,종로5·6가동,1111063000,6.0,9732,0,서울특별시 종로구 종로5·6가동
10,종로구,이화동,1111064000,7.0,10859,0,서울특별시 종로구 이화동
11,종로구,혜화동,1111065000,7.0,18246,0,서울특별시 종로구 혜화동
12,종로구,창신1동,1111067000,5.0,19610,3,서울특별시 종로구 창신1동
13,종로구,창신2동,1111068000,5.0,37688,3,서울특별시 종로구 창신2동
14,종로구,창신3동,1111069000,7.0,31613,1,서울특별시 종로구 창신3동
15,종로구,숭인1동,1111070000,6.0,28400,3,서울특별시 종로구 숭인1동
16,종로구,숭인2동,1111071000,6.0,28291,3,서울특별시 종로구 숭인2동
17,중구,소공동,1114052000,9.0,3220,2,서울특별시 중구 소공동
18,중구,회현동,1114054000,8.0,6964,2,서울특별시 중구 회현동
19,중구,명동,1114055000,7.0,3603,0,서울특별시 중구 명동
20,중구,필동,1114057000,7.0,4404,0,서울특별시 중구 필동
21,중구,장충동,1114058000,6.0,4138,0,서울특별시 중구 장충동
22,중구,광희동,1114059000,7.0,8492,0,서울특별시 중구 광희동
23,중구,을지로동,1114060500,7.0,3345,0,서울특별시 중구 을지로동
24,중구,신당동,1114061500,6.0,16789,0,서울특별시 중구 신당동
25,중구,다산동,1114062500,6.0,29480,3,서울특별시 중구 다산동
26,중구,약수동,1114063500,8.0,36946,1,서울특별시 중구 약수동
27,중구,청구동,1114064500,7.0,42691,1,서울특별시 중구 청구동
28,중구,신당5동,1114065000,7.0,28023,1,서울특별시 중구 신당5동
29,중구,동화동,1114066500,7.0,42288,1,서울특별시 중구 동화동
30,중구,황학동,1114067000,7.0,41482,1,서울특별시 중구 황학동
31,중구,중림동,1114068000,8.0,26963,1,서울특별시 중구 중림동
32,용산구,후암동,1117051000,7.0,21448,0,서울특별시 용산구 후암동
33,용산구,용산2가동,1117052000,6.0,6039,0,서울특별시 용산구 용산2가동
34,용산구,남영동,1117053000,7.0,7069,0,서울특별시 용산구 남영동
35,용산구,청파동,1117055500,6.0,22704,3,서울특별시 용산구 청파동
36,용산구,원효로1동,1117056000,8.0,28186,1,서울특별시 용산구 원효로1동
37,용산구,원효로2동,1117057000,8.0,20730,2,서울특별시 용산구 원효로2동
38,용산구,효창동,1117058000,7.0,23409,0,서울특별시 용산구 효창동
39,용산구,용문동,1117059000,7.0,44954,1,서울특별시 용산구 용문동
40,용산구,한강로동,1117062500,9.0,6771,2,서울특별시 용산구 한강로동
41,용산구,이촌1동,1117063000,9.0,10229,2,서울특별시 용산구 이촌1동
42,용산구,이촌2동,1117064000,7.0,7381,0,서울특별시 용산구 이촌2동
43,용산구,이태원1동,1117065000,7.0,16179,0,서울특별시 용산구 이태원1동
44,용산구,이태원2동,1117066000,7.0,12571,0,서울특별시 용산구 이태원2동
45,용산구,한남동,1117068500,8.0,7875,2,서울특별시 용산구 한남동
46,용산구,서빙고동,1117069000,8.0,5036,2,서울특별시 용산구 서빙고동
47,용산구,보광동,1117070000,6.0,22341,3,서울특별시 용산구 보광동
48,성동구,왕십리2동,1120052000,7.0,43278,1,서울특별시 성동구 왕십리2동
49,성동구,왕십리도선동,1120053500,8.0,38565,1,서울특별시 성동구 왕십리도선동
50,성동구,마장동,1120054000,7.0,22890,0,서울특별시 성동구 마장동
51,성동구,사근동,1120055000,7.0,12312,0,서울특별시 성동구 사근동
52,성동구,행당1동,1120056000,8.0,27903,1,서울특별시 성동구 행당1동
53,성동구,행당2동,1120057000,8.0,58667,1,서울특별시 성동구 행당2동
54,성동구,응봉동,1120058000,8.0,28400,1,서울특별시 성동구 응봉동
55,성동구,금호1가동,1120059000,8.0,34683,1,서울특별시 성동구 금호1가동
56,성동구,금호2·3가동,1120061500,8.0,37767,1,서울특별시 성동구 금호2·3가동
57,성동구,금호4가동,1120062000,8.0,18127,2,서울특별시 성동구 금호4가동
58,성동구,옥수동,1120064500,8.0,13960,2,서울특별시 성동구 옥수동
59,성동구,성수1가1동,1120065000,8.0,8671,2,서울특별시 성동구 성수1가1동
60,성동구,성수1가2동,1120066000,7.0,16556,0,서울특별시 성동구 성수1가2동
61,성동구,성수2가1동,1120067000,6.0,15019,0,서울특별시 성동구 성수2가1동
62,성동구,성수2가3동,1120069000,7.0,11342,0,서울특별시 성동구 성수2가3동
63,성동구,송정동,1120072000,6.0,15237,0,서울특별시 성동구 송정동
64,성동구,용답동,1120079000,6.0,5728,0,서울특별시 성동구 용답동
65,광진구,화양동,1121571000,6.0,22015,3,서울특별시 광진구 화양동
66,광진구,군자동,1121573000,6.0,29877,3,서울특별시 광진구 군자동
67,광진구,중곡1동,1121574000,6.0,26269,3,서울특별시 광진구 중곡1동
68,광진구,중곡2동,1121575000,6.0,41025,3,서울특별시 광진구 중곡2동
69,광진구,중곡3동,1121576000,6.0,28858,3,서울특별시 광진구 중곡3동
70,광진구,중곡4동,1121577000,6.0,13153,0,서울특별시 광진구 중곡4동
71,광진구,능동,1121578000,7.0,10889,0,서울특별시 광진구 능동
72,광진구,광장동,1121581000,9.0,15097,2,서울특별시 광진구 광장동
73,광진구,자양1동,1121582000,6.0,42379,3,서울특별시 광진구 자양1동
74,광진구,자양2동,1121583000,7.0,16008,0,서울특별시 광진구 자양2동
75,광진구,자양3동,1121584000,8.0,24563,2,서울특별시 광진구 자양3동
76,광진구,자양4동,1121584700,6.0,19828,0,서울특별시 광진구 자양4동
77,광진구,구의1동,1121585000,6.0,41184,3,서울특별시 광진구 구의1동
78,광진구,구의2동,1121586000,6.0,20073,0,서울특별시 광진구 구의2동
79,광진구,구의3동,1121587000,8.0,29504,1,서울특별시 광진구 구의3동
80,동대문구,용신동,1123053600,7.0,19965,0,서울특별시 동대문구 용신동
81,동대문구,제기동,1123054500,6.0,23190,3,서울특별시 동대문구 제기동
82,동대문구,전농1동,1123056000,7.0,26113,1,서울특별시 동대문구 전농1동
83,동대문구,전농2동,1123057000,7.0,23244,0,서울특별시 동대문구 전농2동
84,동대문구,답십리1동,1123060000,7.0,36769,1,서울특별시 동대문구 답십리1동
85,동대문구,답십리2동,1123061000,7.0,35866,1,서울특별시 동대문구 답십리2동
86,동대문구,장안1동,1123065000,6.0,31322,3,서울특별시 동대문구 장안1동
87,동대문구,장안2동,1123066000,7.0,30317,1,서울특별시 동대문구 장안2동
88,동대문구,청량리동,1123070500,6.0,18173,0,서울특별시 동대문구 청량리동
89,동대문구,회기동,1123071000,7.0,17255,0,서울특별시 동대문구 회기동
90,동대문구,휘경1동,1123072000,6.0,26203,3,서울특별시 동대문구 휘경1동
91,동대문구,휘경2동,1123073000,7.0,23874,0,서울특별시 동대문구 휘경2동
92,동대문구,이문1동,1123074000,6.0,21453,3,서울특별시 동대문구 이문1동
93,동대문구,이문2동,1123075000,7.0,30687,1,서울특별시 동대문구 이문2동
94,중랑구,면목2동,1126052000,5.0,35537,3,서울특별시 중랑구 면목2동
95,중랑구,면목4동,1126054000,6.0,18229,0,서울특별시 중랑구 면목4동
96,중랑구,면목5동,1126055000,5.0,15352,3,서울특별시 중랑구 면목5동
97,중랑구,면목본동,1126056500,5.0,35837,3,서울특별시 중랑구 면목본동
98,중랑구,면목7동,1126057000,6.0,25517,3,서울특별시 중랑구 면목7동
99,중랑구,면목3·8동,1126057500,5.0,15922,3,서울특별시 중랑구 면목3·8동
100,중랑구,상봉1동,1126058000,7.0,29999,1,서울특별시 중랑구 상봉1동
101,중랑구,상봉2동,1126059000,6.0,29182,3,서울특별시 중랑구 상봉2동
102,중랑구,중화1동,1126060000,6.0,30759,3,서울특별시 중랑구 중화1동
103,중랑구,중화2동,1126061000,5.0,27831,3,서울특별시 중랑구 중화2동
104,중랑구,묵1동,1126062000,7.0,30013,1,서울특별시 중랑구 묵1동
105,중랑구,묵2동,1126063000,6.0,28430,3,서울특별시 중랑구 묵2동
