,gu,dong,code,income_level,pop_density,address,x,y
0,종로구,청운효자동,1111051500,8,5051,서울시 종로구 청운효자동,37.5837762,126.9706629
1,종로구,사직동,1111053000,9,7980,서울시 종로구 사직동,37.5738782,126.9705612
2,종로구,삼청동,1111054000,7,2011,서울시 종로구 삼청동,37.5907651,126.9810164
3,종로구,부암동,1111055000,7,4648,서울시 종로구 부암동,37.5947594,126.9655887
4,종로구,평창동,1111056000,8,2121,서울시 종로구 평창동,37.6130288,126.9745028
5,종로구,무악동,1111057000,9,24278,서울시 종로구 무악동,37.5764425,126.9593115
6,종로구,교남동,1111058000,8,30594,서울시 종로구 교남동,37.5716359,126.9639041
7,종로구,가회동,1111060000,7,8311,서울시 종로구 가회동,37.5820119,126.9864646
8,종로구,종로1·2·3·4가동,1111061500,7,3594,서울시 종로구 종로1·2·3·4가동,37.5741642,126.9897294
9,종로구,종로5·6가동,1111063000,6,9732,서울시 종로구 종로5·6가동,127.0035339,37.57061741
10,종로구,이화동,1111064000,7,10859,서울시 종로구 이화동,37.5772395,127.005633
11,종로구,혜화동,1111065000,7,18246,서울시 종로구 혜화동,37.5878109,127.0017424
12,종로구,창신1동,1111067000,5,19610,서울시 종로구 창신1동,127.016324,37.5707013
13,종로구,창신2동,1111068000,5,37688,서울시 종로구 창신2동,37.5739234,127.0104106
14,종로구,창신3동,1111069000,7,31613,서울시 종로구 창신3동,37.5789506,127.0150489
15,종로구,숭인1동,1111070000,6,28400,서울시 종로구 숭인1동,37.5777841,127.0156044
16,종로구,숭인2동,1111071000,6,28291,서울시 종로구 숭인2동,37.5748401,127.0199652
17,중구,소공동,1114052000,9,3220,서울시 중구 소공동,37.5644131,126.9749183
18,중구,회현동,1114054000,8,6964,서울시 중구 회현동,37.5576619,126.9776955
19,중구,명동,1114055000,7,3603,서울시 중구 명동,37.55998,126.9858296
20,중구,필동,1114057000,7,4404,서울시 중구 필동,37.5583601,126.9942769
21,중구,장충동,1114058000,6,4138,서울시 중구 장충동,37.5580498,127.0035937
22,중구,광희동,1114059000,7,8492,서울시 중구 광희동,37.565028,127.0029827
23,중구,을지로동,1114060500,7,3345,서울시 중구 을지로동,37.56618820000001,126.9964788
24,중구,신당동,1114061500,6,16789,서울시 중구 신당동,37.5579144,127.01367
25,중구,다산동,1114062500,6,29480,서울시 중구 다산동,37.55524930000001,127.0083199
26,중구,약수동,1114063500,8,36946,서울시 중구 약수동,37.5513128,127.0109839
27,중구,청구동,1114064500,7,42691,서울시 중구 청구동,37.5573917,127.0147951
28,중구,신당5동,1114065000,7,28023,서울시 중구 신당5동,37.5638224,127.0215236
29,중구,동화동,1114066500,7,42288,서울시 중구 동화동,37.5610802,127.0180792
30,중구,황학동,1114067000,7,41482,서울시 중구 황학동,37.5685466,127.020839
31,중구,중림동,1114068000,8,26963,서울시 중구 중림동,37.5572954,126.9655633
32,용산구,후암동,1117051000,7,21448,서울시 용산구 후암동,37.5498982,126.9806255
33,용산구,용산2가동,1117052000,6,6039,서울시 용산구 용산2가동,37.5432385,126.9851627
34,용산구,남영동,1117053000,7,7069,서울시 용산구 남영동,37.5458902,126.9745456
