역명,승차총승객수,x,y
가락시장,6520692.0,37.4929144,127.1182155
가산디지털단지,20342388.0,37.4824123,126.8822401
가양,7630162.0,37.5617576,126.8539972
가좌,1994546.0,37.5688828,126.9151667
강남,36432679.0,37.4970559,127.0281806
강남구청,8767057.0,37.51820379999999,127.0472197
강동,7452583.0,37.5357787,127.1341277
강동구청,3836477.0,37.549748,127.1273649
강변,16518779.0,37.5353816,127.0945451
개롱,2558985.0,37.4985573,127.13382
개봉,8883244.0,37.4949138,126.859724
개포동,1240717.0,37.48997809999999,127.0696789
개화,2121477.0,37.5806936,126.7956643
개화산,2162971.0,37.5723147,126.8057586
거여,2860028.0,37.494248,127.1420247
건대입구,22117539.0,37.54081559999999,127.0690315
경복궁,9528244.0,37.5753941,126.9732554
경찰병원,2802976.0,37.49826669999999,127.1256378
고덕,3563640.0,37.5556254,127.153855
고려대,3551425.0,37.5905398,127.0361167
고속터미널,35596000.0,37.5048493,127.0048756
공덕,14059683.0,37.5430115,126.9511883
공릉,4787384.0,37.625762,127.0727485
공항시장,1069502.0,37.5636053,126.8105856
광나루,5293271.0,37.54517,127.1035032
광운대,3538442.0,37.6234098,127.0622569
광화문,13010710.0,37.5724321,126.976902
광흥창,3474464.0,37.5477111,126.9320121
교대,18658276.0,37.4948744,127.017338
구로,7408334.0,37.5025798,126.8821545
구로디지털단지,22948410.0,37.485363,126.9010775
구룡,639739.0,37.4868846,127.0579076
구반포,1142056.0,37.5016398,126.9861934
구산,2927350.0,37.611152,126.9168036
구의,8863049.0,37.5380692,127.0890292
구일,2982813.0,37.4972421,126.8719888
구파발,8064163.0,37.6375796,126.9185478
국회의사당,5905268.0,37.5273906,126.9185594
군자,9545617.0,37.5567294,127.0805348
굽은다리,3611901.0,37.5460516,127.1431682
금천구청,4553828.0,37.4569435,126.8941786
금호,3181242.0,37.5457828,127.0165947
길동,2755021.0,37.5408397,127.1405618
길음,8577578.0,37.6027723,127.023776
김포공항,10614595.0,37.5650592,126.8029919
까치산,11090457.0,37.5325387,126.8462605
낙성대,10962234.0,37.4763633,126.965696
남구로,5844330.0,37.4853202,126.8863308
남부터미널,12678657.0,37.48664360000001,127.0153514
남성,4351324.0,37.4839833,126.9721327
남영,3943644.0,37.5416244,126.9712367
남태령,581715.0,37.4643771,126.9892778
내방,5055184.0,37.4881269,126.9932148
노들,1720517.0,37.5140938,126.9547675
노량진,15335121.0,37.5135848,126.9409046
노원,15876161.0,37.65350770000001,127.0608068
녹번,5162854.0,37.60107,126.9357561
녹사평,2250457.0,37.5344442,126.9855245
녹천,1856167.0,37.6456347,127.0509423
논현,6908609.0,37.5142998,127.0317742
답십리,5956237.0,37.5655563,127.0540869
당고개,4855158.0,37.670607,127.0793321
당산,14944933.0,37.5340246,126.9021956
대림,14571288.0,37.4934315,126.8947998
대모산입구,1243495.0,37.4917142,127.0736619
대방,5347923.0,37.51331,126.9257017
대청,3756116.0,37.4936578,127.0795603
대치,4617129.0,37.4945267,127.063259
대흥,3315580.0,37.5477187,126.9415202
도곡,4587715.0,37.490719,127.0549212
도림천,434433.0,37.5142835,126.8829718
도봉,2341029.0,37.6752038,127.0448981
도봉산,6699631.0,37.6890338,127.0466673
독립문,3190488.0,37.5742169,126.9561692
독바위,1060082.0,37.6183762,126.9328575
독산,5907341.0,37.4665133,126.8892552
돌곶이,3199007.0,37.6106056,127.0571471
동대문,14462129.0,37.5706271,127.0094409
동대문역사문화공원,16189874.0,37.56577430000001,127.0085617
동대입구,4308153.0,37.5592128,127.0051127
동묘앞,7515603.0,37.5735962,127.0171394
동작,1798686.0,37.5022358,126.9791108
