,name,subway,시도,시군구,읍면동,coord,sub_count,sub_list,bus_count,bus_list
0,가락시장,1,서울특별시,송파구,가락1동,"(127.1182155, 37.4929144)",1,"[(127.1182155, 37.4929144)]",3,"[(127.11674246738, 37.49461173018), (127.1196649529, 37.492861626), (127.1198949418, 37.4931164216)]"
1,가산디지털단지,1,서울특별시,금천구,가산동,"(126.8822401, 37.4824123)",1,"[(126.8822401, 37.4824123)]",9,"[(126.8798394629, 37.4835628112), (126.88301698406364, 37.48098682711818), (126.8811766446, 37.4813580466), (126.8814482716, 37.480922786), (126.8841012578, 37.4807934165), (126.8850573087, 37.4811450963), (126.8801947943, 37.4833441903), (126.883995, 37.480651), (126.883995, 37.480651)]"
2,가양,1,서울특별시,강서구,가양2동,"(126.8539972, 37.5617576)",1,"[(126.8539972, 37.5617576)]",12,"[(126.8556895138, 37.561862827), (126.85265583165, 37.5639844584), (126.8550610541, 37.5642788368), (126.85424780695, 37.5592286656), (126.85369525825, 37.561821340600005), (126.8565633389, 37.5603875036), (126.8564329524, 37.5603165481), (126.8529839006, 37.5613391963), (126.8528632774, 37.561300724), (126.850795794, 37.5617903895), (126.851396905, 37.5621095978), (126.8521262525, 37.5616577156)]"
3,가좌,1,서울특별시,서대문구,남가좌1동,"(126.9151667, 37.5688828)",1,"[(126.9151667, 37.5688828)]",10,"[(126.915396626, 37.5679408681), (126.9152459122, 37.5681928654), (126.9131955449, 37.5707453996), (126.9152207304, 37.5689408321), (126.91431677933332, 37.569537437633336), (126.91825822965, 37.567857412), (126.9118741272, 37.5694124936), (126.91359781925, 37.56652658785), (126.9170110662, 37.5689465564), (126.9128992, 37.5691523)]"
4,강남,1,서울특별시,강남구,역삼1동,"(127.0281806, 37.4970559)",1,"[(127.0281806, 37.4970559)]",11,"[(127.0271383954, 37.4992255638), (127.02791652498, 37.49808170468), (127.0265568443, 37.4977090289), (127.0266304927, 37.497732613), (127.0278811796, 37.497012435), (127.0290810871, 37.4982746161), (127.02966242535, 37.4986819561), (127.0289856171, 37.4946855227), (127.027893653, 37.4969872035), (127.0287560434, 37.4954915025), (127.026364, 37.499237)]"
5,강남구청,1,서울특별시,강남구,삼성2동,"(127.0472197, 37.51820379999999)",2,"[(127.0472197, 37.51820379999999), (127.0492085, 37.518721)]",2,"[(127.0476867112, 37.51830711225), (127.0499673538, 37.5194885827)]"
6,강동,1,서울특별시,강동구,천호3동,"(127.1341277, 37.5357787)",1,"[(127.1341277, 37.5357787)]",6,"[(127.13532256705, 37.53741684625), (127.13218706545, 37.53589561395), (127.1307893247, 37.5362118233), (127.1321018501, 37.5360328892), (127.136791352725, 37.534440319375), (127.1338151395, 37.5342320629)]"
7,강동구청,1,서울특별시,강동구,암사2동,"(127.1273649, 37.549748)",2,"[(127.1273649, 37.549748), (127.128209, 37.5511669)]",4,"[(127.1277325539, 37.55078950515), (127.1273829196, 37.5496336213), (127.1276704909, 37.5508326562), (127.1282830813, 37.54973606415)]"
8,강변,1,서울특별시,광진구,구의3동,"(127.0945451, 37.5353816)",1,"[(127.0945451, 37.5353816)]",7,"[(127.09473911925, 37.53631869635), (127.09380307935, 37.53603493645), (127.0920468874, 37.5353125577), (127.0920592455, 37.5344953121), (127.0959503785, 37.5371322994), (127.0939623138, 37.5364701968), (127.09385688195, 37.5365713168)]"
9,개롱,1,서울특별시,송파구,가락2동,"(127.13382, 37.4985573)",1,"[(127.13382, 37.4985573)]",7,"[(127.1324835959, 37.4992481293), (127.131913503, 37.4995595052), (127.1353325853, 37.4977336448), (127.1358633194, 37.4999709276), (127.1330680597, 37.4991191503), (127.1359026997, 37.4976115396), (127.1359273655, 37.4998470676)]"
10,개봉,1,서울특별시,구로구,개봉1동,"(126.859724, 37.4949138)",1,"[(126.859724, 37.4949138)]",5,"[(126.85784218978571, 37.49451157941429), (126.858337, 37.493765), (126.8606080222, 37.4968204517), (126.8620548891, 37.496454217), (126.858504, 37.494698)]"
11,개포동,1,서울특별시,강남구,개포2동,"(127.0696789, 37.48997809999999)",1,"[(127.0696789, 37.48997809999999)]",4,"[(127.0705330355, 37.4900551607), (127.06840513205, 37.4894551521), (127.0705610867, 37.4901261199), (127.0682635, 37.489438)]"
12,개화,1,서울특별시,강서구,방화2동,"(126.7956643, 37.5806936)",1,"[(126.7956643, 37.5806936)]",1,"[(126.798410445, 37.5820297319)]"
13,개화산,1,서울특별시,강서구,방화2동,"(126.8057586, 37.5723147)",1,"[(126.8057586, 37.5723147)]",2,"[(126.80608302935, 37.57256355915), (126.8043232293, 37.5706597602)]"
14,거여,1,서울특별시,송파구,거여1동,"(127.1420247, 37.494248)",1,"[(127.1420247, 37.494248)]",5,"[(127.1426570685, 37.4940430558), (127.144833628, 37.4942920625), (127.1448647534, 37.4940771512), (127.1440833765, 37.4925345752), (127.1424489566, 37.4939688623)]"
15,건대입구,1,서울특별시,광진구,화양동,"(127.0690315, 37.54081559999999)",1,"[(127.0690315, 37.54081559999999)]",4,"[(127.0701002081, 37.53882717295), (127.069856929025, 37.5418559547), (127.0715617177, 37.5420823612), (127.0711804057, 37.54111889965)]"
16,경복궁,1,서울특별시,종로구,사직동,"(126.9732554, 37.5753941)",1,"[(126.9732554, 37.5753941)]",4,"[(126.97200998716666, 37.57671199803333), (126.97012218605, 37.57617654645), (126.9714954531, 37.5759010413), (126.97542580475, 37.57415439179999)]"
17,경찰병원,1,서울특별시,송파구,가락본동,"(127.1256378, 37.49826669999999)",1,"[(127.1256378, 37.49826669999999)]",4,"[(127.12681133885, 37.49883986265), (127.1260745807, 37.4984348876), (127.1230730231, 37.4999826063), (127.12473486105, 37.50039518435)]"
18,고덕,1,서울특별시,강동구,고덕1동,"(127.153855, 37.5556254)",2,"[(127.153855, 37.5556254), (127.1569719, 37.5546735)]",4,"[(127.1565513496, 37.5545561392), (127.15549385105, 37.555246444), (127.1531794454, 37.5554994863), (127.1519969244, 37.55476419805)]"
19,고려대,1,서울특별시,성북구,안암동,"(127.0361167, 37.5905398)",1,"[(127.0361167, 37.5905398)]",7,"[(127.0349190878, 37.5884912484), (127.0330897535, 37.59133361585), (127.03673970825, 37.589091508950006), (127.0364057011, 37.5904817435), (127.0347492384, 37.5881642203), (127.0356957883, 37.5924635577), (127.035660064, 37.59252221)]"
20,고속터미널,1,서울특별시,서초구,반포4동,"(127.0048756, 37.5048493)",1,"[(127.0048756, 37.5048493)]",9,"[(127.0068288823, 37.5065699182), (127.00618267063334, 37.50608896733333), (127.0067658952, 37.5065488752), (127.0030560717, 37.5053987653), (127.0019536338, 37.5037041117), (127.0055499914, 37.5028819916), (127.0062505502, 37.5033097796), (127.0033421421, 37.5057468023), (127.0032182287, 37.5054475749)]"
21,공덕,1,서울특별시,마포구,도화동,"(126.9511883, 37.5430115)",1,"[(126.9511883, 37.5430115)]",12,"[(126.95357001675, 37.5443964599), (126.95116920073332, 37.543951297266666), (126.9531309736, 37.5444258914), (126.953575703875, 37.54160258435), (126.9493499924, 37.5447332983), (126.9530725157, 37.5429842733), (126.95181665535, 37.5443519247), (126.9507504721, 37.5423591935), (126.95162170245, 37.5421632043), (126.949255, 37.544503), (126.951576, 37.54322), (126.9478595, 37.5429247)]"
22,공릉,1,서울특별시,노원구,공릉1동,"(127.0727485, 37.625762)",1,"[(127.0727485, 37.625762)]",7,"[(127.07194044435, 37.6251010195), (127.07094008605, 37.62688158675), (127.0714673545, 37.62531154085), (127.07394832273332, 37.6259999482), (127.0726012934, 37.6265214174), (127.0725053256, 37.6263839212), (127.07580116465, 37.62679947385)]"
23,공항시장,1,서울특별시,강서구,공항동,"(126.8105856, 37.5636053)",2,"[(126.8105856, 37.5636053), (126.810506, 37.5614789)]",4,"[(126.8108737845, 37.5638624859), (126.80899158045, 37.56244266545), (126.811450181, 37.5647148358), (126.8104246818, 37.561373125328565)]"
24,광나루,1,서울특별시,광진구,광장동,"(127.1035032, 37.54517)",1,"[(127.1035032, 37.54517)]",5,"[(127.1033710811, 37.54553041505), (127.10302364145, 37.5437431659), (127.10239139885, 37.54698053165), (127.1052925495, 37.5460907194), (127.103067, 37.5448436)]"
25,광운대,1,서울특별시,노원구,월계1동,"(127.0622569, 37.6234098)",1,"[(127.0622569, 37.6234098)]",2,"[(127.06168069475, 37.622776307825), (127.06002104035, 37.6228553677)]"
26,광화문,1,서울특별시,종로구,종로1.2.3.4가동,"(126.976902, 37.5724321)",1,"[(126.976902, 37.5724321)]",5,"[(126.9772022826, 37.5724045047), (126.97591203268333, 37.56992932805), (126.9772155872, 37.571900094), (126.97670690706668, 37.57274601936667), (126.97542580475, 37.57415439179999)]"
27,광흥창,1,서울특별시,마포구,서강동,"(126.9320121, 37.5477111)",1,"[(126.9320121, 37.5477111)]",10,"[(126.9317214055, 37.54750176486667), (126.93217002255, 37.548151593325), (126.9321867092, 37.5495557585), (126.93291595195, 37.5496789944), (126.932449918, 37.54541454755), (126.93016733245, 37.5479750886), (126.9336240667, 37.550070866), (126.9342794483, 37.5473874823), (126.932708649, 37.54538609285), (126.9314592212, 37.549302813050005)]"
28,교대,1,서울특별시,서초구,서초4동,"(127.017338, 37.4948744)",1,"[(127.017338, 37.4948744)]",7,"[(127.0145718191, 37.4940683559), (127.0146975779, 37.4938797757), (127.019943145, 37.495560321), (127.0197030227, 37.4961359946), (127.0187712425, 37.4955335177), (127.0151722537, 37.4940263356), (127.0158789726, 37.4943891487)]"
29,구로,1,서울특별시,구로구,구로5동,"(126.8821545, 37.5025798)",1,"[(126.8821545, 37.5025798)]",4,"[(126.8825739599, 37.5018671419), (126.8791782442, 37.503509882900005), (126.88241659633331, 37.5038382663), (126.88282609935, 37.5003539707)]"
30,구로디지털단지,1,서울특별시,구로구,구로3동,"(126.9010775, 37.485363)",1,"[(126.9010775, 37.485363)]",4,"[(126.8999983004, 37.4830982769), (126.90240199941248, 37.484031615525), (126.90202598015, 37.48460347095), (126.9006060798, 37.4828576712)]"
31,구룡,1,서울특별시,강남구,개포2동,"(127.0579076, 37.4868846)",1,"[(127.0579076, 37.4868846)]",4,"[(127.0570882865, 37.4860997871), (127.0585649939, 37.4843138374), (127.05914929065, 37.48613360365), (127.0571626489, 37.4858004529)]"
32,구반포,1,서울특별시,서초구,반포본동,"(126.9861934, 37.5016398)",1,"[(126.9861934, 37.5016398)]",1,"[(126.986551, 37.501138)]"
33,구산,1,서울특별시,은평구,구산동,"(126.9168036, 37.611152)",1,"[(126.9168036, 37.611152)]",7,"[(126.917473734, 37.6116655944), (126.918127982, 37.6107957476), (126.91734448385, 37.61041286865), (126.9169878166, 37.6107347585), (126.9173678461, 37.61210523), (126.917791567, 37.6108889917), (126.9144026486, 37.6127624265)]"
34,구의,1,서울특별시,광진구,구의1동,"(127.0890292, 37.5380692)",1,"[(127.0890292, 37.5380692)]",6,"[(127.0908228881, 37.5379848095), (127.08922700015, 37.5382494791), (127.0879931323, 37.5376657993), (127.0882468908, 37.5376220052), (127.0896511085, 37.5403059696), (127.0897111252, 37.5402920346)]"
35,구일,1,서울특별시,구로구,구로1동,"(126.8719888, 37.4972421)",1,"[(126.8719888, 37.4972421)]",4,"[(126.8722239252, 37.4953499886), (126.8739050555, 37.495719504), (126.8733869098, 37.4954735202), (126.874901877, 37.4968293439)]"
36,구파발,1,서울특별시,은평구,진관동,"(126.9185478, 37.6375796)",1,"[(126.9185478, 37.6375796)]",3,"[(126.91878318266669, 37.6366763683), (126.9188937698, 37.6367612366), (126.91696065175, 37.6366422133)]"
37,국회의사당,1,서울특별시,영등포구,여의동,"(126.9185594, 37.5273906)",1,"[(126.9185594, 37.5273906)]",4,"[(126.91816355614, 37.52952601088), (126.9176121282, 37.5282281884), (126.9179115152, 37.5281349845), (126.9208781684, 37.5279423737)]"
38,군자,1,서울특별시,광진구,능동,"(127.0805348, 37.5567294)",1,"[(127.0805348, 37.5567294)]",6,"[(127.07927771683336, 37.55673586773333), (127.08245246, 37.5560651252), (127.0815389967, 37.5561793641), (127.0775790025, 37.5560618233), (127.07881286285, 37.555916133), (127.0817148283, 37.5563479303)]"
