,gu,dong,code,income_level,pop_density,company
0,종로구,청운효자동,1111051500,8.0,5051,1028.0
1,종로구,사직동,1111053000,9.0,7980,3574.0
2,종로구,삼청동,1111054000,7.0,2011,732.0
3,종로구,부암동,1111055000,7.0,4648,599.0
4,종로구,평창동,1111056000,8.0,2121,761.0
5,종로구,무악동,1111057000,9.0,24278,647.0
6,종로구,교남동,1111058000,8.0,30594,413.0
7,종로구,가회동,1111060000,7.0,8311,765.0
8,종로구,종로1·2·3·4가동,1111061500,7.0,3594,
9,종로구,종로5·6가동,1111063000,6.0,9732,
10,종로구,이화동,1111064000,7.0,10859,1191.0
11,종로구,혜화동,1111065000,7.0,18246,1695.0
12,종로구,창신1동,1111067000,5.0,19610,2179.0
13,종로구,창신2동,1111068000,5.0,37688,864.0
14,종로구,창신3동,1111069000,7.0,31613,281.0
15,종로구,숭인1동,1111070000,6.0,28400,493.0
16,종로구,숭인2동,1111071000,6.0,28291,1747.0
17,중구,소공동,1114052000,9.0,3220,3849.0
18,중구,회현동,1114054000,8.0,6964,8566.0
19,중구,명동,1114055000,7.0,3603,6965.0
20,중구,필동,1114057000,7.0,4404,2886.0
21,중구,장충동,1114058000,6.0,4138,819.0
22,중구,광희동,1114059000,7.0,8492,8472.0
23,중구,을지로동,1114060500,7.0,3345,8812.0
24,중구,신당동,1114061500,6.0,16789,11459.0
25,중구,다산동,1114062500,6.0,29480,1424.0
26,중구,약수동,1114063500,8.0,36946,833.0
27,중구,청구동,1114064500,7.0,42691,881.0
28,중구,신당5동,1114065000,7.0,28023,1193.0
29,중구,동화동,1114066500,7.0,42288,1005.0
30,중구,황학동,1114067000,7.0,41482,1947.0
31,중구,중림동,1114068000,8.0,26963,1016.0
32,용산구,후암동,1117051000,7.0,21448,928.0
33,용산구,용산2가동,1117052000,6.0,6039,601.0
34,용산구,남영동,1117053000,7.0,7069,1619.0
35,용산구,청파동,1117055500,6.0,22704,1685.0
36,용산구,원효로1동,1117056000,8.0,28186,1758.0
37,용산구,원효로2동,1117057000,8.0,20730,958.0
38,용산구,효창동,1117058000,7.0,23409,418.0
39,용산구,용문동,1117059000,7.0,44954,630.0
40,용산구,한강로동,1117062500,9.0,6771,4899.0
41,용산구,이촌1동,1117063000,9.0,10229,812.0
42,용산구,이촌2동,1117064000,7.0,7381,347.0
43,용산구,이태원1동,1117065000,7.0,16179,1538.0
44,용산구,이태원2동,1117066000,7.0,12571,720.0
45,용산구,한남동,1117068500,8.0,7875,2087.0
46,용산구,서빙고동,1117069000,8.0,5036,414.0
47,용산구,보광동,1117070000,6.0,22341,840.0
48,성동구,왕십리2동,1120052000,7.0,43278,824.0
49,성동구,왕십리도선동,1120053500,8.0,38565,2176.0
50,성동구,마장동,1120054000,7.0,22890,3207.0
51,성동구,사근동,1120055000,7.0,12312,1072.0
52,성동구,행당1동,1120056000,8.0,27903,1388.0
53,성동구,행당2동,1120057000,8.0,58667,627.0
54,성동구,응봉동,1120058000,8.0,28400,369.0
55,성동구,금호1가동,1120059000,8.0,34683,567.0
56,성동구,금호2·3가동,1120061500,8.0,37767,
57,성동구,금호4가동,1120062000,8.0,18127,657.0
58,성동구,옥수동,1120064500,8.0,13960,868.0
59,성동구,성수1가1동,1120065000,8.0,8671,1792.0
60,성동구,성수1가2동,1120066000,7.0,16556,2877.0
61,성동구,성수2가1동,1120067000,6.0,15019,2526.0
62,성동구,성수2가3동,1120069000,7.0,11342,5805.0
63,성동구,송정동,1120072000,6.0,15237,711.0
64,성동구,용답동,1120079000,6.0,5728,1864.0
65,광진구,화양동,1121571000,6.0,22015,2447.0
66,광진구,군자동,1121573000,6.0,29877,1593.0
67,광진구,중곡1동,1121574000,6.0,26269,1588.0
68,광진구,중곡2동,1121575000,6.0,41025,1674.0
69,광진구,중곡3동,1121576000,6.0,28858,1301.0
70,광진구,중곡4동,1121577000,6.0,13153,1524.0
71,광진구,능동,1121578000,7.0,10889,802.0
72,광진구,광장동,1121581000,9.0,15097,1398.0
73,광진구,자양1동,1121582000,6.0,42379,1780.0
74,광진구,자양2동,1121583000,7.0,16008,1433.0
75,광진구,자양3동,1121584000,8.0,24563,1324.0
76,광진구,자양4동,1121584700,6.0,19828,1817.0
77,광진구,구의1동,1121585000,6.0,41184,1760.0
78,광진구,구의2동,1121586000,6.0,20073,1309.0
79,광진구,구의3동,1121587000,8.0,29504,2695.0
80,동대문구,용신동,1123053600,7.0,19965,5195.0
81,동대문구,제기동,1123054500,6.0,23190,4632.0
82,동대문구,전농1동,1123056000,7.0,26113,2262.0
83,동대문구,전농2동,1123057000,7.0,23244,920.0
84,동대문구,답십리1동,1123060000,7.0,36769,1971.0
85,동대문구,답십리2동,1123061000,7.0,35866,2187.0
86,동대문구,장안1동,1123065000,6.0,31322,4409.0
87,동대문구,장안2동,1123066000,7.0,30317,3071.0
88,동대문구,청량리동,1123070500,6.0,18173,1614.0
89,동대문구,회기동,1123071000,7.0,17255,1034.0
90,동대문구,휘경1동,1123072000,6.0,26203,929.0
91,동대문구,휘경2동,1123073000,7.0,23874,1221.0
92,동대문구,이문1동,1123074000,6.0,21453,1191.0
93,동대문구,이문2동,1123075000,7.0,30687,688.0
94,중랑구,면목2동,1126052000,5.0,35537,2062.0
95,중랑구,면목4동,1126054000,6.0,18229,1172.0
96,중랑구,면목5동,1126055000,5.0,15352,830.0
97,중랑구,면목본동,1126056500,5.0,35837,2572.0
98,중랑구,면목7동,1126057000,6.0,25517,1477.0
99,중랑구,면목3·8동,1126057500,5.0,15922,
100,중랑구,상봉1동,1126058000,7.0,29999,1171.0
101,중랑구,상봉2동,1126059000,6.0,29182,2159.0
102,중랑구,중화1동,1126060000,6.0,30759,1089.0
103,중랑구,중화2동,1126061000,5.0,27831,2111.0
104,중랑구,묵1동,1126062000,7.0,30013,1555.0
105,중랑구,묵2동,1126063000,6.0,28430,1811.0
106,중랑구,망우본동,1126065500,6.0,10789,3827.0
107,중랑구,망우3동,1126066000,5.0,18122,1132.0
108,중랑구,신내1동,1126068000,6.0,16148,2017.0
109,중랑구,신내2동,1126069000,7.0,22126,1120.0
110,성북구,성북동,1129052500,7.0,6148,1174.0
111,성북구,삼선동,1129055500,7.0,28275,1834.0
112,성북구,동선동,1129057500,7.0,22296,2037.0
